index,token,description
0,wm,whites move
1,bm,black move
2,mt,empty square
3,pw,white pawn
4,nw,white knight
5,bw,white bishop
6,rw,white rook
7,qw,white queen
8,kw,white king
9,pb,black pawn
10,nb,black knight
11,bb,black bishop
12,rb,black rook
13,qb,black queen
14,kb,black king
25,50m,fifty move rule
26,3f,three fold rule
27,qpm,queen pawn promotion
28,npm,knight pawn promotion
29,rpm,rook pawn promotion
30,bpm,biship pawn promotion
31,SEP,seperation token (SPECIAL)
32,MASK,token used for masking (SPECIAL)
33,PAD,token used for padding (SPECIAL)
